precision,recall,f1,auc_roc,accuracy,loss
0.9961612284069098,0.8109375,0.8940568475452196,0.9919238880368098,0.9458149671554565,0.49278897047042847
0.9982905982905983,0.9125,0.953469387755102,0.9996549079754601,0.974889874458313,0.3331144154071808
1.0,0.9890625,0.9945011783189317,0.9999875383435582,0.9969162940979004,0.2325214445590973
1.0,0.9984375,0.9992181391712275,1.0,0.9995594620704651,0.17089326679706573
1.0,0.9984375,0.9992181391712275,1.0,0.9995594620704651,0.13279370963573456
1.0,0.9984375,0.9992181391712275,1.0,0.9995594620704651,0.10652047395706177
1.0,1.0,1.0,1.0,1.0,0.08791512250900269
1.0,1.0,1.0,1.0,1.0,0.07528886944055557
1.0,1.0,1.0,1.0,1.0,0.064293771982193
0.7534766118836915,0.93125,0.83298392732355,0.9615040260736196,0.8947136402130127,0.9334678053855896
0.9962616822429906,0.8328125,0.9072340425531915,0.9947593941717792,0.9519823789596558,0.5205108523368835
0.9966159052453468,0.9203125,0.9569455727051178,0.9987950536809815,0.9766519665718079,0.3392724096775055
1.0,0.98125,0.9905362776025236,0.9999606978527606,0.9947136640548706,0.23036512732505798
1.0,0.996875,0.9984350547730829,0.9999980828220859,0.9991189241409302,0.16790930926799774
1.0,0.9984375,0.9992181391712275,1.0,0.9995594620704651,0.12808243930339813
1.0,1.0,1.0,1.0,1.0,0.1024223193526268
1.0,1.0,1.0,1.0,1.0,0.08428312093019485
1.0,1.0,1.0,1.0,1.0,0.07079491019248962
1.0,1.0,1.0,1.0,1.0,0.061035238206386566
0.6451612903225806,0.9375,0.7643312101910829,0.964807323619632,0.8370044231414795,0.8619948029518127
0.998165137614679,0.85,0.9181434599156119,0.9943241947852761,0.9572687149047852,0.4559653103351593
1.0,0.9265625,0.9618815896188159,0.9997555598159509,0.9792951345443726,0.3000199794769287
1.0,0.990625,0.9952904238618524,0.9999971242331288,0.9973568320274353,0.20827805995941162
1.0,0.9984375,0.9992181391712275,1.0,0.9995594620704651,0.15417949855327606
1.0,1.0,1.0,1.0,1.0,0.11966411769390106
1.0,1.0,1.0,1.0,1.0,0.09628839790821075
1.0,1.0,1.0,1.0,1.0,0.07946137338876724
1.0,1.0,1.0,1.0,1.0,0.06752333790063858
1.0,1.0,1.0,1.0,1.0,0.05868744105100632
