precision,recall,f1,auc_roc,accuracy,loss
0.9906103286384976,1.0,0.9952830188679245,0.9994068560462884,0.9989136457443237,0.09149012714624405
0.9906103286384976,1.0,0.9952830188679245,1.0,0.9989136457443237,0.02924695611000061
1.0,1.0,1.0,1.0,1.0,0.010321203619241714
1.0,1.0,1.0,0.9999999999999999,1.0,0.005556152202188969
1.0,1.0,1.0,1.0,1.0,0.00377721362747252
1.0,1.0,1.0,1.0,1.0,0.002894155215471983
1.0,1.0,1.0,1.0,1.0,0.0025747595354914665
1.0,1.0,1.0,0.9999999999999999,1.0,0.00229676254093647
1.0,1.0,1.0,1.0,1.0,0.002063340973109007
